ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,0,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.13.11432.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,2022-06-DD 02:12:12,NA,False,Live Registry
1,1,00000009	0001000d2ca80000	0000000000000000	8664	Microsoft.WindowsTerminal	8wekyb3d8bbwe	,,NA,False,Live Registry
1,2,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.13.11432.0_x64__8wekyb3d8bbwe\OpenConsole.exe,2022-06-DD 02:12:11,NA,False,Live Registry
1,3,00000009	0001000d2ca80000	000a000055f00000	8664	Microsoft.WindowsTerminal	8wekyb3d8bbwe	,,NA,False,Live Registry
1,4,C:\Windows\System32\conhost.exe,2022-05-DD 05:19:30,NA,False,Live Registry
1,5,C:\Users\rever\OneDrive\바탕 화면\분석도구\LECmd\LECmd.exe,2022-05-DD 05:54:56,NA,False,Live Registry
1,6,\\?\C:\Users\rever\AppData\Local\Microsoft\VisualStudio\17.0_593f814a\WinFormsDesigner\hxutxq0w.bcu\DesignToolsServer.exe,2022-06-DD 04:28:54,NA,False,Live Registry
1,7,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\WebViewHost\WebViewHost.exe,2022-06-DD 04:26:12,NA,False,Live Registry
1,8,C:\Users\rever\OneDrive\바탕 화면\ARTIFACT\ARTIFACT_Analyzer\bin\Debug\net6.0-windows\ARTIFACT_Analyzer.exe,2022-06-DD 06:31:35,NA,False,Live Registry
1,9,C:\Program Files (x86)\Microsoft Visual Studio\Shared\Common\DiagnosticsHub.Collection.Service\StandardCollector.Service.exe,2019-04-DD 02:36:44,NA,False,Live Registry
1,10,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x64\ServiceHub.DataWarehouseHost.exe,2022-06-DD 04:26:31,NA,False,Live Registry
1,11,C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\Roslyn\VBCSCompiler.exe,2022-06-DD 04:27:47,NA,False,Live Registry
1,12,C:\Users\rever\AppData\Local\Microsoft\OneDrive\22.111.0522.0002\FileCoAuth.exe,2022-06-DD 07:14:07,NA,False,Live Registry
1,13,C:\WINDOWS\system32\WFS.exe,2022-06-DD 05:20:48,NA,False,Live Registry
1,14,C:\Program Files\Microsoft Office\root\Office16\msoia.exe,2022-05-DD 10:12:25,NA,False,Live Registry
1,15,\\?\C:\Users\rever\AppData\Local\Microsoft\VisualStudio\17.0_593f814a\WinFormsDesigner\rjg5c1dt.ggt\DesignToolsServer.exe,2022-06-DD 04:28:54,NA,False,Live Registry
1,16,C:\WINDOWS\System32\SearchFilterHost.exe,2022-05-DD 05:19:22,NA,False,Live Registry
1,17,C:\Program Files\Git\mingw64\bin\git.exe,2021-03-DD 12:21:54,NA,False,Live Registry
1,18,C:\Program Files\Git\cmd\git.exe,2021-03-DD 12:21:54,NA,False,Live Registry
1,19,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x64\ServiceHub.Host.CLR.x64.exe,2022-06-DD 04:26:31,NA,False,Live Registry
1,20,\\?\C:\Users\rever\AppData\Local\Microsoft\VisualStudio\17.0_593f814a\WinFormsDesigner\zrbaecfb.ifx\DesignToolsServer.exe,2022-06-DD 04:28:54,NA,False,Live Registry
1,21,C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe,2022-06-DD 04:26:44,NA,False,Live Registry
1,22,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.AnyCPU\ServiceHub.RoslynCodeAnalysisService.exe,2022-06-DD 04:26:31,NA,False,Live Registry
1,23,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.ThreadedWaitDialog.exe,2022-06-DD 04:26:32,NA,False,Live Registry
1,24,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.Host.CLR.x86.exe,2022-06-DD 04:26:32,NA,False,Live Registry
1,25,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\PerfWatson2.exe,2022-06-DD 04:26:27,NA,False,Live Registry
1,26,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.SettingsHost.exe,2022-06-DD 04:26:32,NA,False,Live Registry
1,27,C:\WINDOWS\system32\DsmUserTask.Exe,2022-05-DD 05:19:36,NA,False,Live Registry
1,28,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.AnyCPU\ServiceHub.VSDetouredHost.exe,2022-06-DD 04:26:31,NA,False,Live Registry
1,29,C:\Program Files (x86)\Microsoft Visual Studio\Installer\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\BackgroundDownload.exe,2022-06-DD 02:24:43,NA,False,Live Registry
